category,file,frames_processed,frames_with_pose,detection_rate,error
incline_bench_press,arc2_incline_bench_press_3.mp4,46,46,100.0,
incline_bench_press,arc2_incline_bench_press_30.mp4,887,881,99.32,
incline_bench_press,arc2_incline_bench_press_31.mp4,725,651,89.79,
incline_bench_press,arc2_incline_bench_press_32.mp4,937,937,100.0,
incline_bench_press,arc2_incline_bench_press_33.mp4,72,72,100.0,
incline_bench_press,arc2_incline_bench_press_4.mp4,53,52,98.11,
incline_bench_press,arc2_incline_bench_press_5.mp4,40,40,100.0,
incline_bench_press,arc2_incline_bench_press_6.mp4,111,110,99.1,
incline_bench_press,arc2_incline_bench_press_7.mp4,40,39,97.5,
incline_bench_press,arc2_incline_bench_press_8.mp4,45,44,97.78,
incline_bench_press,arc2_incline_bench_press_9.mp4,71,71,100.0,
lat_pulldown,arc2_lat_pulldown_1.mp4,101,101,100.0,
lat_pulldown,arc2_lat_pulldown_10.mp4,131,131,100.0,
lat_pulldown,arc2_lat_pulldown_11.mp4,61,61,100.0,
lat_pulldown,arc2_lat_pulldown_12.mp4,160,160,100.0,
lat_pulldown,arc2_lat_pulldown_13.mp4,38,37,97.37,
lat_pulldown,arc2_lat_pulldown_14.mp4,109,109,100.0,
lat_pulldown,arc2_lat_pulldown_15.mp4,150,150,100.0,
lat_pulldown,arc2_lat_pulldown_16.mp4,101,101,100.0,
lat_pulldown,arc2_lat_pulldown_17.mp4,70,70,100.0,
lat_pulldown,arc2_lat_pulldown_18.mp4,70,70,100.0,
lat_pulldown,arc2_lat_pulldown_19.mp4,72,72,100.0,
lat_pulldown,arc2_lat_pulldown_2.mp4,74,74,100.0,
lat_pulldown,arc2_lat_pulldown_20.mp4,74,74,100.0,
lat_pulldown,arc2_lat_pulldown_21.mp4,60,60,100.0,
lat_pulldown,arc2_lat_pulldown_22.mp4,72,72,100.0,
lat_pulldown,arc2_lat_pulldown_23.mp4,106,74,69.81,
lat_pulldown,arc2_lat_pulldown_24.mp4,74,58,78.38,
lat_pulldown,arc2_lat_pulldown_25.mp4,98,86,87.76,
lat_pulldown,arc2_lat_pulldown_26.mp4,158,158,100.0,
lat_pulldown,arc2_lat_pulldown_27.mp4,350,350,100.0,
lat_pulldown,arc2_lat_pulldown_28.mp4,97,97,100.0,
lat_pulldown,arc2_lat_pulldown_3.mp4,69,69,100.0,
lat_pulldown,arc2_lat_pulldown_32.mp4,106,89,83.96,
lat_pulldown,arc2_lat_pulldown_33.mp4,58,57,98.28,
lat_pulldown,arc2_lat_pulldown_34.mp4,79,78,98.73,
lat_pulldown,arc2_lat_pulldown_36.mp4,79,79,100.0,
lat_pulldown,arc2_lat_pulldown_37.mp4,103,85,82.52,
lat_pulldown,arc2_lat_pulldown_38.mp4,96,93,96.88,
lat_pulldown,arc2_lat_pulldown_39.mp4,69,69,100.0,
lat_pulldown,arc2_lat_pulldown_4.mp4,65,65,100.0,
lat_pulldown,arc2_lat_pulldown_40.mp4,240,240,100.0,
lat_pulldown,arc2_lat_pulldown_43.mp4,153,153,100.0,
lat_pulldown,arc2_lat_pulldown_44.mp4,117,117,100.0,
lat_pulldown,arc2_lat_pulldown_45.mp4,222,222,100.0,
lat_pulldown,arc2_lat_pulldown_46.mp4,305,305,100.0,
lat_pulldown,arc2_lat_pulldown_47.mp4,87,87,100.0,
lat_pulldown,arc2_lat_pulldown_48.mp4,287,287,100.0,
lat_pulldown,arc2_lat_pulldown_49.mp4,258,258,100.0,
lat_pulldown,arc2_lat_pulldown_5.mp4,68,62,91.18,
lat_pulldown,arc2_lat_pulldown_50.mp4,116,115,99.14,
lat_pulldown,arc2_lat_pulldown_51.mp4,77,77,100.0,
lat_pulldown,arc2_lat_pulldown_6.mp4,101,6,5.94,
lat_pulldown,arc2_lat_pulldown_7.mp4,150,150,100.0,
lat_pulldown,arc2_lat_pulldown_8.mp4,149,149,100.0,
lat_pulldown,arc2_lat_pulldown_9.mp4,103,103,100.0,
lateral_raise,arc2_lateral_raise_10.mp4,149,149,100.0,
lateral_raise,arc2_lateral_raise_14.mp4,188,188,100.0,
lateral_raise,arc2_lateral_raise_15.mp4,89,89,100.0,
lateral_raise,arc2_lateral_raise_16.mp4,120,120,100.0,
lateral_raise,arc2_lateral_raise_17.mp4,171,171,100.0,
lateral_raise,arc2_lateral_raise_18.mp4,81,81,100.0,
lateral_raise,arc2_lateral_raise_21.mp4,77,77,100.0,
lateral_raise,arc2_lateral_raise_22.mp4,86,86,100.0,
lateral_raise,arc2_lateral_raise_23.mp4,87,87,100.0,
lateral_raise,arc2_lateral_raise_24.mp4,175,175,100.0,
lateral_raise,arc2_lateral_raise_25.mp4,166,166,100.0,
lateral_raise,arc2_lateral_raise_26.mp4,245,245,100.0,
lateral_raise,arc2_lateral_raise_27.mp4,180,180,100.0,
lateral_raise,arc2_lateral_raise_28.mp4,271,271,100.0,
lateral_raise,arc2_lateral_raise_3.MOV,432,432,100.0,
lateral_raise,arc2_lateral_raise_30.mp4,216,216,100.0,
lateral_raise,arc2_lateral_raise_31.mp4,294,294,100.0,
lateral_raise,arc2_lateral_raise_6.MOV,550,550,100.0,
lateral_raise,arc2_lateral_raise_7.mp4,60,60,100.0,
lateral_raise,arc2_lateral_raise_8.mp4,58,58,100.0,
lateral_raise,arc2_lateral_raise_9.mp4,166,166,100.0,
leg_extension,arc2_leg_extension_1.MOV,410,410,100.0,
leg_extension,arc2_leg_extension_14.mp4,98,0,0.0,
leg_extension,arc2_leg_extension_15.mp4,171,164,95.91,
leg_extension,arc2_leg_extension_17.mp4,258,257,99.61,
leg_extension,arc2_leg_extension_18.mp4,495,495,100.0,
leg_extension,arc2_leg_extension_19.mp4,96,96,100.0,
leg_extension,arc2_leg_extension_2.MOV,289,289,100.0,
leg_extension,arc2_leg_extension_20.mp4,372,372,100.0,
leg_extension,arc2_leg_extension_21.mp4,141,141,100.0,
leg_extension,arc2_leg_extension_22.mp4,186,113,60.75,
leg_extension,arc2_leg_extension_23.mp4,177,177,100.0,
leg_extension,arc2_leg_extension_24.mp4,219,181,82.65,
leg_extension,arc2_leg_extension_25.mp4,207,207,100.0,
leg_extension,arc2_leg_extension_3.MOV,365,365,100.0,
leg_extension,arc2_leg_extension_4.MOV,371,371,100.0,
leg_extension,arc2_leg_extension_5.MOV,378,378,100.0,
leg_extension,arc2_leg_extension_6.MOV,373,373,100.0,
leg_extension,arc2_leg_extension_7.mp4,74,74,100.0,
leg_extension,arc2_leg_extension_8.mp4,161,161,100.0,
leg_raises,arc2_leg_raises_1.MOV,410,410,100.0,
leg_raises,arc2_leg_raises_10.mp4,187,187,100.0,
leg_raises,arc2_leg_raises_12.mp4,190,190,100.0,
leg_raises,arc2_leg_raises_13.mp4,181,181,100.0,
leg_raises,arc2_leg_raises_14.mp4,295,295,100.0,
leg_raises,arc2_leg_raises_15.mp4,150,149,99.33,
leg_raises,arc2_leg_raises_16.mp4,219,219,100.0,
leg_raises,arc2_leg_raises_17.mp4,325,325,100.0,
leg_raises,arc2_leg_raises_18.mp4,144,140,97.22,
leg_raises,arc2_leg_raises_19.mp4,212,155,73.11,
leg_raises,arc2_leg_raises_2.MOV,444,444,100.0,
leg_raises,arc2_leg_raises_20.mp4,67,67,100.0,
leg_raises,arc2_leg_raises_21.mp4,60,60,100.0,
leg_raises,arc2_leg_raises_3.MOV,361,361,100.0,
leg_raises,arc2_leg_raises_4.MOV,225,225,100.0,
leg_raises,arc2_leg_raises_5.MOV,474,474,100.0,
leg_raises,arc2_leg_raises_6.MOV,351,351,100.0,
leg_raises,arc2_leg_raises_7.mp4,354,354,100.0,
leg_raises,arc2_leg_raises_9.mp4,211,211,100.0,
plank,arc2_plank_1.MOV,1104,1074,97.28,
plank,arc2_plank_6.mp4,664,663,99.85,
plank,arc2_plank_7.mp4,6840,6836,99.94,
pull_up,arc2_pull_up_1.mp4,526,525,99.81,
pull_up,arc2_pull_up_10.mp4,243,243,100.0,
pull_up,arc2_pull_up_11.mp4,220,220,100.0,
